nom,texte_combine
40mcube,"40mcube groupes an exhibition area, a Sculpture Park, a theater of artists and workshops. One of the main activities of 40mcube is the production of works, a close work with artists throughout the chain that are research, feasibility study, technical follow-up and manufacturing, up to the presentation of works, communication and media to the public. Projects are also conducted in partners in France and abroad, and in public space. 40mcube gateways an exhibition area, a black room dedicated to a programming of international artists' films, and a studio for the production of the works of 40thirs 40mcube is an exhibition area, a production structure of works, a place of art residence and an organization office of contemporary art projects. 40mcube develops several research axes: 40mcube-exposures, 40mcube-editions, 40mcube-AV that co-produces with the audio-visual sector of artists' videos, and finally 40mcube-public works on artistic projects taking place in public space. The work of production, exhibition and media is generated or is followed by a reflection on the current art that is produced by critical editions. 40mcube is an exhibition space, a studio, an artist-in-restudent space and an organization of 40ms."
Diagonale,"For more than ten years, Diagonale has set up various contexts - exhibitions, editions, round tables, artists' meetings and, from time to time, artists' residences - to accompany the proposals in contemporary art related to the fiber.MANDATDiagonal is a centre of dissemination dedicated to contemporary art that promotes, through its programming, the proposals of artists and Commissioners in terms of both material and concept. Diagonale was known today as an important development in its history. Located in the heart of a new Nevralgic Centre for the dissemination of visual and media arts, the Centre of Artists became an incontestable actor of the visual scene. He was involved in the dissemination of works in contemporary art related to fibre, he offered six annual exhibitions as well as conferences and an edition program, through privileged partnerships with approved bodies in Canada and abroad. After the Council of Arts Textiles of Quebec, Diagonale was born in 2004 of his desire to define the important changes of his visual scene. He was born in the midst of his body's body, he proposed six annual exhibitions as well as conferences and a program of publishing, through special partnership with his special organizations. He was born in his family and abroad. In 2004 he was born as a member of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family. In the family of the family of the family of the family of the family of the family of the family of the family. The family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family of the family."
La Maudite,"The activities include curating exhibitions, film screenings, organizing conferences, seminars and other research activities that interconnect with critical theory. It's also a document center on Brazilian contemporary art_x000D_ Directors: Beatriz Toledo and Wagner Morales_x000D_ Communication: Olga Olgorodova_x000D_ Founders: Beatriz Toledo, Camila Bechelany and Wagner Morales_x000D_ _x000D_ Trainees who passed by: Paulo Assumpção, Flavia Daroczi, Carolina Cataldi Pedrosa, Maëlic Beets, Laura Piasek and Valerie Vial La Maudite is an artists run space created by two artists and a researcher/curator based in Paris and is aimed at articulating art practices, curatorial practices and research. Situated in Belleville neighborhood, La Maudite is a platform for artistic and multidisciplinary projects in a variety of fields: visual arts, film, sound experiences, performance, and literature, among others. The activities include curating exhibitions, film screenings, organizing conferences, seminars and other research activities that interconnect with critical theory. It's also a document center on Brazilian contemporary art (see DOC CENTER), which is constantly fed through donations. It aims to promote activities locally, nationally and internationally, collaborating with public and private institutions, involving artists and a wide array of communities to launch creative networks. MOT DE 2016- All,_x000D_ It is sad but also a little relief that we write to inform you that since the beginning of April, we will no longer have physical space.Some times are both dark in France and Brazil, and this has certainly influenced us.But the real reasons for the departure of this space are the desire to rethink our format and our role as managers and artists.Maudite will continue to exist, our desire to promote, expose, search and exchange around contemporary art is intact, and all this will be lost despite closure.Thanks to all of us having followed in our new proposals and very quickly."
Interface appartement /galerie,"Since September 1995, we have proposed a young artist's programming: this action is intended to form a flexible complement to the professional environment of art (Gallerys, Institutions). Our ""associative gallery apartment"" has been called a place of exchange and meeting. Since September 1996, the programming has integrated artists such as Marc-Camille Chaimowicz, Jean Dupuy, Ming, Pat Bruder, Didier Marcel, Philippe Cazal, Marc Cutturier, Jean Dupuy, Niek van Steeg... .Claude Rutault. Still functional, the apartment is transformed into a few weeks's place of life, so it is in place of exhibition. And it seems that it takes them to break into pieces, cut them into pieces, and cut them into pieces. The Apartment/Gallery Interface is defined as a place of experimentation and support for (young) artists; a free airbuff in contemporary art circuits... without self-interest!!! Interface is an Association Act 1901, created in January 1992 in Dijon. It aims to support young artists with material and logistical assistance for the achievement and dissemination of their works. a salary (coordinator): Nadje Marreau and a ginzaine of volunteers"
À Suivre...,"In Suivre... it was a place of creation, production and dissemination of contemporary art dedicated to an educational and cultural service. In addition to the proposed exhibitions, there were visits, conferences, meetings with artists, and workshops that enabled the public to learn about the diversity of current practices and methods of intervention. This project, initiated by modern artists involved in contemporary creation, was in line with their willingness to discuss the different fields of experience related to the issues of art today. A range of exhibitions, a pedagogical structure, technical studios and an artist's workshop, followed by... was a numerous place to promote the cross-section of practices and people. This place was used to invite emerging creation, to reflect on the modalities of the exhibition and to reflect on relations with the public. The workshops in the school environment were intended for many experiments and involved children, adolescents and adults in a creative process. The workshops of artists, true research labs, as well as the point organization of events, had a dynamic and rhythmful life in the area of this area, and were used as a means of drawings and drawings from the streets."
CP5/Collectif Curry Vavart,"Since 2006, Curry Vavart has developed workshops and temporary exhibition spaces, fully managed by artists, installed in damaged buildings to be rehabilitated in short or long term terms. The collective encourages collaborations and exchanges of knowledge, including those of collective artistic events. To this end, an exhibition space has been created in 18th, the ""CP5"". The collective group is composed of hundreds of volunteers and nearly 10,000 members and sympathis, and supports each year almost 150 associated projects and artists. It currently manages 2000m2 of workshops shared in 20th and 18th rounds, with the Parcoires of the Parcoires and the Coalitions of the Coalitions. The CP5 is a space of artistic exhibitions, located in the entrance hall of an old SNCF dresser, fully equipped with 5mm against this project. Two years ago, this building was located in the 18th district of Paris, welcoming the last workers of the SNCF Pulur site, currently in repair. The entrance hall is a place of choice: only and unique access to the clothing, shower and furniture, used by hundreds of wines each day, of wines intended for the display of its walls. Today, the disabled building has been invested by the harvesters of the SNCF and harvesters. Several volunteers encourage a plastic art commission within the collection Curry Vavart. This committee is piloting the operation of the CP5 exposure space. It examines the exhibition projects submitted to the collection, sets up a program that it validates throughout the collection at its plenary meeting, welcomes artists and accompanys the conduct of exhibitions, including from a logistical point of view. The host program is addressed to all artists or collective artists, without age limit, who can testify to a professional course in becoming or bearing members of a single curatorial project."
France Fiction,
MOCA / Museum of Conceptual Art,"The Museum of Conceptual Art was founded in the 1970 by Tom Marioni, describing it as a ""social artwork"".The museum moved into its official location on January 3, 1973 in San Francisco, California._x000D_ Until the museum closed in 1984, he organized many groundbreaking shows, including Sound Sculpture As in 1970. MOCA has entered history as one of the first alternative art spaces. Marioni had one-person shows in several significant venues for early conceptual art, among them the Richard Demarco Gallery in Edinburgh in 1972 and Gallery Foksal in Warsaw in 1975. In 1977 he had a solo show, The Sound of Flight, at the de Young. _x000D_ After the closing of MOCA, Marioni continued his commitment to “a social work of art"" with the ongoing Society of Independent Artists. The Archives of MOCA were purchased by the Berkeley Art Museum in 1994."
In extenso ,"exhibitions, editions, publication of The beautiful magazine, contemporary Art magazine in Central France. Founded in 2002 by Marc Geneix and Sébastien Maloberti, Inextremely deploys its activities according to three major axes: the exhibition, edition, and the development of exchanges between contemporary art sites in central France, by means of his project La revue. Inexso spreads the work of national and international artists through a double programming, within its gallery and out of the walls. In the center of Clermont-Ferrand, the association has a range of 25m2 exhibits per year. The programming outside the walls is about the fruit of the partnership that is placed in the French and European structures. Sébastien Maloberti, President - Marc Geneix, Director - Annabel Rioux, Coordinator and Editorial Director The beautiful review."
Gasworks,"Established in 1994, Gasworks is a contemporary art organisation based in South London, housing eleven artists' studios and offering a programme of exhibitions and events, artists’ residencies, international fellowships and educational projects. Seven studios are rented to London-based artists and four are reserved for the International Residency Programme for non-UK based artists. Gasworks hosts up to sixteen residencies a year, encouraging the exchange of ideas between international and local practitioners. The non-prescriptive and process-based nature of the residencies allows visiting artists to develop projects in response to their new context, or to conduct research benefiting from London’s resources. As a result, residencies generally culminate in an Open Studio. The residencies programme is also accompanied by activities such as talks and seminars, aiming to introduce the general public to international artists and their practice.The exhibition space accommodates four main projects a year, as well as a series of small-scale events. The programme includes solo and thematic exhibitions, screenings, workshops and seminars. Gasworks focuses on visual arts practice in its broadest sense, including design, documentary filmmaking and media art, amongst other areas of activity. These are all linked by a commitment to constantly reassess the position of artists within their wider cultural, social and political frameworks. _x000D_ The residencies and exhibitions programmes regularly cooperate, often to facilitate research and production for international artists invited to develop a project for the exhibitions and events programme. Gasworks runs a Participation programme which responds to, as well as operates independently from, the residencies and exhibitions. The programme aims to instigate dialogue and exchange through art, and to work with local groups and organisations to widen access to contemporary art._x000D_ Find out more about Gasworks and how we work with artists in this short film produced by Artquest:http://bit.ly/GasworksIntroGasworks is also part of Triangle Network, an international network of artists and organisations set up in 1982 whose activities include residencies and workshops. Triangle provides Gasworks with unique connections to artists and organisations in more than thirty countries around the world. Each year, through the Arts Council England’s International Artists Fellowship Programme, Gasworks organises residencies for six to eight UK-based artists in one of the Triangle partners' organisations, in countries including Cuba, China, South Africa, Kenya and India."
INTERIOR and the collectors,"We invite the public in a private space to show art in the intimate framework of an apartment that is not dedicated to the exhibition but to everyday life. Here, we become collectors and decide on the choice of artists, not by following a particular theme or problem, but by using a more personal logic that allows us to cross the genres and mix emerging artists with confirmed artists. The works presented are very diverse, conceptual, talented, surprising, sometimes violent. The private space allows a total freedom, a local exchange and densitying the foundations of a multicultural and sensitive art, another way of seeing an exhibition. INTERIOR and the collectors are an exhibition area led by two artists who opened with the 11th year of contemporary art of Lyon. This is not a conventional exhibition place but an apartment of character in a 16th-century building in the center of Lyon. It is also a more confidential space that can be praised for one or more nights. We want to develop temporary exhibitions in this typical place, more demanding than a personal and unique gallery."
L'épicerie,"Exposure / programming / dissemination The epicery could be a cooperative, an association, a command, a sports team, a range of prognosticators, a technical team, a pilot team, a pilot team, a pension fund, a general assembly of companies, a Japanese electro-rock group, a food store, a kitchen battery, an old student association, textile dealers, political exile, a team of hysterical performers, singers of post-industrial genres, cheerleaders, cheerleaders, choir singers, cheerleaders, majors of hair... +/-The episcerery gives its capacity a maximum performance in a given time, adhesion with adhesion, textiles, textiles, political exiles, a group of historical performers, post-induration singers, professional singers, choralticians, choralticians, majors, hairdressers, hairdressers, and other kinds of hair. auto-production In order to answer the first question, I could say that it depends on projects. With regard to the project ""+/- The Epicery"" or ""Donor-Donor"" the original will was clearly a position and a poetic response to the political will. The demonstration infrastructure and protocols implemented by them were voluntaryly fragile and did not want to be institutionalized, it was a response here and now in the social and artistic context of the age. In the 1990s, there was a gap between the historical and critical nature of Nicolas Bourriaud. There were no structures that welcomed the work of the young artists. They were also used to make their own tools. With regard to question 2 and for me, I voluntarily resell the concept of work by the author, and let the appreciation of others consider this work as ""work"". The archiving of a documentation, reflection on this subject, its replaying under the plastic, sound, film or still installation forms an integral part of my work. Tising bridges between curatorial and artistic practices has always been either, one that can serve as a narrative to the other. But the most important thing in this regard has always been to promote the spirit and intelligence of the collective, for which the story takes all its meaning and value of being a vecuist. Jean-Louis and the graphic artist."
La Confection Idéale,"The Ideal Package is a project for contemporary art located in an old fine lingerie shop. This exhibition space aims to show works of artists engaged in research processes that confer on their works a particular experimental character.This space is managed by the MAG000 Association, which consists of visual artists turned to the same goal: to keep an informed, specific and sensitive view of contemporary art in all its diversity and thus allow the disseminating of visual arts by various projects and initiatives."
Syndicat Potentiel Strasbourg (Le Faubourg),"The potential Syndicat welcomes in its space the most experimental forms of contemporary art, the practices at the borders of art and other areas of human activity, and explore new ways of circulation between different fields (economic, social, cultural and political). A particular attention is paid to the evolution of contemporary art at international and local level, emerging artists and previously confirmed artists. The installation, performance and device are the dominant mediums, although all other support is present, as well as the disciplines related to plastic arts (Illustration, Graphicism, Musical, Musical and Pomeme, Musical, Musical, Musical, Musical, Musical, Musical art, Musical art, Musical art, Musical art and music. The potential Syndicat is a space of creation, meetings and artistic experiences. The ""The Fauborg"" association was founded in 1992 by a dozen students from the HEAR Strasbourg to form a space of dissemination independent of contemporary art. A dozen exhibitions are organized each year, associated with plastic artists, collectives, projects involving students of the HEAR. The experiment of new cross-sections between contemporary creation and today's issues - that they are social, economic, political, and ecological orders - is a member of the Versatilesaust-Veracate de Pédicat de Pédérats The potential Syndicat welcomes in its area of exhibitions designed by itself or in collaboration with the invited artists(s) and by extension with any group (collective, association, organization...) whose project shares our objectives. The exhibition in our walls remains the premier form, recent exhibitions outside the walls are recent attempts to continue."
One gee in fog,"one gee in fire is an independent, experimental and multidisciplinary area including an exhibition room, a concert room, a library and a residence. established in the canton of Geneva, based on the haas mogami, clear mix of haas and lucas cantori, it is co-ordinated by a group of heteroclites of artists, commissioners, writers, musicians and graphic artists. _x000D_one gee in fog is an independent, experimental and multidisciplinary arts art coming in an exhibition space, a concert space, a library and a residence. established in the canton-borough in the canton of Geneva, founded by the heteroctoric orchestras of haas, a"
Peking,
Wohnmaschine,"The artist-run space housing machine becomes a Look gallery, a commercial space in 1992."
Love WG - Art connection,
ChezKit,"Named ChezKit, the project was born of the will of three young artists from the Beautiful-Arts of Paris in 2013 (Coline Cuni, Gwendoline Perriqueux and Cyril Zarcone) in the spring of 2014 and opened its doors in a Pantino industrial building. The 200m2 site is modulated by individual or collective projects of its residents. It is a place of production, collaboration and critical discussions. ChezKit is engaged in a support to young creation.The ChezKit workshop is converted every three months to take place in various artistic events: exhibitions, exhibitions, projections, performances and other initiatives aimed at contemporary creation."
MAISON DE L'IMAGE,"_x000D_Disposition, production and rental of exhibitions_x000D_ Organisation of projections, meetings and conferences_x000D_ Guest artist's home_x000D_ Artistic project accompanying_x000D_Image training and education_x000D_School intervention and sensitive neighborhoods_x000D_ Workshops and workshops animation_x000D_ Book Edition_x000D_ The house of the image is an independent place dedicated to the image, in all its forms: photography, video, cinema, new media. It is both a meeting place, a training space, a platform for cultural exchanges and an area of cooperation and residence for artists._x000D_ The house of the image is the development of an adventure for three years during which we have worked to make it an open space capable of attracting artists of the name, forming new generations of the image (photograph, graphic, iconographs, etc.) and forming a winery for the Tunisian creation in the Mediterranean_semage."
MILLE FEUILLES,"A typical space, on the edge of the library. And on the floor, an art space, with many collective exhibitions."
Western Front,"Established in 1973 the Western Front is one of Canada’s leading artist-run centres for contemporary art and new music. We produce and present visual art, exhibitions, new music concerts and workshops, media-art residencies, performance art and other artist-driven initiatives. The Western Front currently maintains programs in Exhibitions, Media Art and New Music, as well as an extensive archive of audio-visual materials. Through this diverse programming we continue to be a crucial platform for interdisciplinary, experimental art practices in Canada and internationally. The Western Front was founded in 1973 by eight artists (Martin Bartlett, Mo van Nostrand, Kate Craig, Henry Greenhow, Glenn Lewis, Eric Metcalfe, Michael Morris, Vincent Trasov) who wanted to create a space for the exploration and creation of new art forms. It quickly became a centre for poets, dancers, musicians and visual artists interested in exploration and interdisciplinary practices. As a focal point of experimental art practice through the 1970’s and 80’s, the Western Front, in connection with other centres like it, played a major role in the development of electronic and networked art forms in a national and international context._x000D_ Over its 43-year history the Western Front has promoted critical investigations into and surrounding interdisciplinary, media-based, anti-object, and ephemeral practices with particular attention to the contexts and economies in which art is produced. While general curatorial priorities have remained dedicated to these practices, the Western Front’s internal structure has continued to evolve and a number of distinct programs have been established and retired over the years including Performance Art, Movement Arts, Literary Arts and Front Magazine. The Western Front still continues to program events and exhibitions related to these genres, but no longer supports fully dedicated departments."
B'Chira Art Center,"_x000D_ Contemporary Art Exhibitions_x000D__x000D__x000D_x000D_x000D_External workshops (ceramical, design, painting, video and other musical workshops such as Floral Design, Culinary Art, Kibana...)_x000D_x000D_x000D_Workshops on news themes conducted by national and international experts_x000D__x000D_x000D_Meetings, discussions, Talks with the different actors of the cultural and scientific scene._x000D_x000D_Special Music concerts, projections, choreographic performances, documents_x000D_documents, By Chira Art Center, a cultural project founded by artist Bchira Trikki Bouazizi, artist and ceramic artist, is an independent contemporary art centre located 20 minutes from Tunis._x000D_ The purpose of the founder is to offer:_x000D_x000D_A place where contemporary artistic practices are developed through a professional structure that allows artists to produce, express and reflect about their artistic work._x000D_x_x_experimental laboratory for artists and researchers of different scientific and technical disciplines so that they can open the path to collaborations based on raw materials and raw materials _x000x"
EP Galerie Jürgen Schweinebraden,One of the most important private galleries in the context of the RDA in the 1970s. Article: http://www.bpb.de/55803/ep-galerie-schweinebraden
Keramikwerkstatt von Wilfriede Maaß,"In the 1980s, the Wilfriede Maaß ceramic workshop located in Schönflißer Straße, in the eastern district of Prenzlauer Berg, became the center of the independent artistic environment.Link article: http://www.bpb.de/55807/keramikwerkstatt-vilfriede-maass"
ZABRISKIE POINT,"Zabriskie Point is an independent exhibition space dedicated to contemporary art._x000D_ It is managed by a multidisciplinary collection currently composed of Roxane Bovet, Laure Mudry, and artist. Zabriskie Point is a member of the daily, real and present. Its architecture and location allows it to escape from traditional art sites._x000D is managed by a multidisciplinary group composed of Roxane Bovet, Laure Mudry, artist, and Yoan Gandrya's member."
Closet,"In the historic heart of Marseille, Closet._x000D_ Place of contemporary design, it is a library gallery that opens the workshop of the artist Morgane Placet."
Treize,"Such a refugee in Paris, Treize is a space devoted to production and programming of exhibitions, concerts, conferences, performances...Thirize is a production structure, exhibitions, and editors are Mathis Collins, Gallien Djean, PascalineMorincôme, Olga Rosenblum, and Fanny Schulmann. In the course of its activities, Treize regularly rewritten its methods of production, distribution, communication, and collaboration, thanks to the different competencies of its members (artists, commissioners, producers, artists, art critics, authors)."
Deborah Bowmann,"Deborah Bowmann is a project run by artists Amaury Daurel and Victor Delestre recently relocated in Brussels after a first season of exhibitions/collections held in Amsterdam. Deborah Bowmann stands between a brand and an exhibition space and thus embodies a studio practice and a curatorial practice.Deborah Bowmann commits in developing new manners of thinking commodity and commerce in both aesthetic and economic terms in the fields of sculpture and design.Deborah Bowmann develops through collaboration with young artists and various actors._x000D_ Recent collaborators includes :Thea Djordjadze, Stéphane Barbier Bouvet, Clémence Seilles, Laurent Ledeunff, Estrid Lutz & Émile Mold, Vincent Knopper, Heather and Rositta, Émilie Ferrat, Jurjen Van Houte, Habitdenous©, Jeanne Magnenat, Leïla Arenou & Laure Jaffuel, Fabien Vallos and Lény Bernay.Deborah Bowmann also develops through invitations and has been invitated by Triangle France, Galerie Treize, SSBA-SALON._x000D_"
Park,"PARK highlights the current developments of contemporary art and artists with a strong experience and tested quality. A place is given to regional artists, but also to national or international artists, in order to contribute positively to the debate on contemporary art. Five projects are carried out each year, accompanied by interventions that can open public to the project, conferences, discussions, music and/or cinema. _x000D_ PARK is an artistic initiative founded in 2013 by Rob Moonen, in collaboration with six other Tilburg artists. Currently the working group PARK Linda Arts , René Korten , Rob Moonen and Reinoud van Vught ._x000D_ PARK has met the need for an artistic centre that is located between Kunstpodium T. and Museum De Pont by integrating itself into an exhibition program in the old Goretti Chapel in Wilhelminapark in Tilburg."
La GAD MARSEILLE,"LA GAD IS A PRIVATE GALLERY WITHOUT SUBSIDIES OR SPONSORS. THE GALLERY MOVES AROUND ITS CENTER IN MARSEILLES IN A DYNAMIC, ANARCHIC, AND ORIGINAL TRAJECTORY.LA GAD IS AN ART LABORATORY EXPERIMENT LOCATED IN ARNAUD DESCHIN’S APARTMENT IN MARSEILLE. THE ARCHITECT-DESIGNED SPACE HOSTS EXHIBITIONS AND DEVELOPS THEM IN A WAY SIMILAR TO AN ARTIST IN HIS STUDIO. BEYOND THE COMMERCIAL ASPECT THE GALLERIST IS ALSO PRESENT IN A STRONG CURATORIAL ROLE. AFTER GRADUATING FROM MARSEILLE ART SCHOOL ARNAUD DESCHIN HAS COLLABORATED WITH OVER 120 EMERGING AND ESTABLISHED ARTISTS FROM AROUND THE WORLD. LA GAD HAS CURATED OVER 50 EXHIBITIONS IN MARSEILLES AND OTHER LOCATIONS, AND IS PRESENT AT INTERNATIONAL ART FAIRS.THE AIM OF THE GALLERY IS TO EXHIBIT AND PROMOTE EMERGING ARTISTS IN GROUP AND SOLO EXHIBITIONS. LA GAD WISHES TO SURPRISE ITS AUDIENCE IN ORDER TO CREATE NEW ENCOUNTERS AND CIRCULATE ARTISTS THROUGH NEW NETWORKS.THE CONTEMPORARY ARTISTIC LANDSCAPE OF LA GAD, MAINLY ORIENTED TOWARDS CONCEPTUAL ART, MATERIAL WORKS, ARTISTS’ STORIES, OR THE HISTORY OF THE ‘WHITE CUBE’, IS NOW AFFIRMED BY A NEWFOUND SUPPORT TO FIGURATIVE PAINTING.2016 IS AN IMPORTANT TURNING POINT FOR THE GALLERY AS LA GAD OPENS A NEW SPACE DESIGNED BY ARTIST FRED PRADEAU WHOSE WORK QUESTIONS STANDARDIZED SPACES. ARNAUD DESCHIN HAS OFFERED HIS NEW SPACE AS THE CREATION FOR A MAJOR AND TOTAL ART PIECE THAT WILL HOST A WHOLE NEW TEAM IN MARSEILLE. THE CURRENT SPACE WILL BE OFFERED FOR RENT AS A SPECIAL ACCOMMODATION: SPENDING A NIGHT OR TWO IN THE MIDDLE OF AN ART EXHIBITION, WITHIN HUNDREDS OF ART PIECES. WELCOME TO THE LAB!"
The Number Shop,"STUDIO The Number Shop studios provides it's residents with a defined personal space, as well as shared floor space in which to work. Facilities include; wireless internet throughout, a shared store facility, tools and equipment, kitchen, W.C. and reception area. Studio Resident artists can use the Project Space between exhibitions and have 24 hour access to the building.GALLERY_x000D_ TNS hosts exhibitions from visiting artists in our Project Space. The Project Space (3.3 x 3.8m) has 3 white wall-space aspects as well as large street facing windows with a roller blind that can be used as a projection screen. There is access to the kitchen and WC during events and full disabled access.Exhibitions & ProposalsIf you would like to submit a proposal for an exhibition in our Project Space please contact ali@thenumbershop.org We welcome solo shows from external practitioners, as well as small-mid size groups who can think of inventive ways to work with the room's modest dimensions. TNS is keen to build relationships with artist collectives, galleries and cultural institutions across Scotland and beyond. If you are interested in working together or discussing a project we would be very happy to hear from you. The Number Shop - Studios and Gallery is an artist-run organisation in the centre of Edinburgh. We provide studio's for 10 practitioners as well as a flexible use exhibition space for visiting artists. TNS maintains a clear aim to support recent-graduates and early-career/emerging creatives from a wide range of creative backgrounds by providing affordable city centre spaces in which to work and exhibit.TNS is keen to connect with external organisations in an effort to develop working relationships and encourage more creative opportunities, if you are interested in working together, please get in touch!"
"Printed Matter, Inc.","Printed Matter is located in the heart of the busy Chelsea art district, surrounded by hundreds of galleries, arts organizations, and fellow arts non-profits. With with well over 100,000 visitors annually, the active street-level storefront offers a glimpse into the thriving state of contemporary artists’ publishing, featuring artists’ books, zines, posters, prints, multiples, audio works and a broad selection of out-of-print material. In addition to being packed full of unique publications, we host an array of programs and events on a regular basis. From rotating exhibitions and window installations toevents such as book launches, talks and performances, there's always something going on at Printed Matter. The shop also holds the non-profit offices where our small staff can be seen at work on various services in support of book artists and can always help you find what you’re looking for._x000D_ We are constantly checking in material, and have several hundred new titles available each month. So, visit often and see what new titles we have in stock! Founded in 1976, Printed Matter, Inc. is the world’s leading non-profit organization dedicated to the dissemination, understanding and appreciation of artists' books and related publications._x000D_ First established in Tribeca by Sol Lewitt and Lucy Lippard (among other important artists and art-workers) Printed Matter was developed in response to the growing interest in publications made by artists. Starting in the early 60s, many of the pioneering conceptual artists (as well as performance, process, environment, sound and other experimental media artists) began to explore the possibilities of the book form as an artistic medium. Large-edition and economically produced publications allowed experimentation with artworks that were democratically accessible, affordable, collaborative, and could circulate outside of the mainstream gallery system. Printed Matter provided a space that championed artists' books as complex and meaningful artworks, helping bring wider visibility to a medium that was not widely embraced at the time._x000D_ After 13 years on Lispenard Street in Tribeca, Printed Matter moved to a location on Wooster Street in SoHo. The spacious bookshop and large storefront windows allowed for book displays and artists’ installations, contributing to the vibrancy of a neighborhood that was undergoing rapid changes. In 2001 Printed Matter made its move to Chelsea, the center of New York’s art district, and further established its relationship to the contemporary arts. In 2005, we relocated to our current storefront on Tenth Avenue. The space has presented us once again with a street-level window and the opportunity to present exhibitions and programming. With the continuing growth of the organization, we manage to do a lot with the limited space we have, making every visit to Printed Matter new and exciting._x000D_ Over the years, Printed Matter has maintained a close relationship with the rich history of artists’ publications and continues to carry works from many of our organization's founding artists. Printed Matter’s first catalogue in 1976 included books from a number of artists who would turn out to be major figures of a generation – Kathy Acker, Laurie Anderson, Carl Andre, John Baldessari, Daniel Buren, Susan Hiller, Sol LeWitt, Adrian Piper, Ad Reinhardt, Martha Rosler, Edward Ruscha, and Lawrence Weiner to name a few– many of which are still available to purchase (though most no longer cost $2)._x000D_ Artists’ books have continued to provide a remarkable reflection on contemporary artistic practices. In recent years the community has witnessed an explosion of independently published projects, resulting in an increased and renewed interest in the field. As artists’ book publishing undergoes this tremendous renaissance, Printed Matter has expanded its services and activities to meet the needs of the field, notably including the establishment of our NY Art Book Fair in 2005 and the inaugural LA Art Book Fair in 2013. We’re thrilled to find that Printed Matter’s mission is more pertinent than ever._x000D_ In 2012 Printed Matter suffered from flooding caused by Hurricane Sandy, resulting in the loss of 9,000 books and considerable damage of our Archive. We are grateful for the tremendous support of the many individuals and foundations that helped us make steps towards a full recovery. Thank you to everyone who generously reached out to support the organization during our time of need. Founding Members :_x000D_ Carl Andre Edit DeAk Sol LeWitt Lucy Lippard Walter Robinson Pat Steir Mimi Wheeler Robin White Irena by Zahn"
La Couleuvre,"The ACOT Association is born of a common desire and commitment of a collection composed of most plastic artists, filmmakers and art theoryrs. It is defined as working together to promote artistic creation in all its forms, to help artists make projects and disseminate them, to promote individual views._x000D_ A book is published at the end of each exhibition in 50 copies, their sale allows them to produce the book of the following exhibition._x000D_The space is intended to support ambitious projects beyond the visited circuits. ACOT supports the creation of the works of the artist, the works of the artists, the works of the artist."
ECHANGEUR22,"For professional artists or confirmed in the following disciplines: Numbering art/songart plasticsCritical art and exhibition commissionerDesign/grammatical literature/writtenDance/chorographyFor a maximum period of 6 weeks, the residence is privileged for the months of June, July, (period of festivals) or September/October.The artists attending the meetings in duo or trio will be held in co-residentship for at least 4 weeks._x000D_3 workshops: The large studio. The studio. The studio. The workshop F2. The production workshop in RDC giving on large accessible portal /.2 common cuisines /.cours/pisciones/possessions. ECHANGEUR22 is a residence project that focuses on the hosting of different artists of horizons and cultures and develops its program around the concept of artistic meetings._x000D_6 weeks, 3 nationalities, 3 workshops/residents, 3 to 4 residentsA residence of creation or experience that gives artists a common language, technical and financial conditions to cope, produce and develop new and transcultural ideas by creating links with the host territory through different actions, such as workshops and public presentations._x000D_ Simple objectives: Open a place of exchange and production in an intercultural and intercultural context"
La Mamelle/Art Com,"La Mamelle / Art Com is a non-profit artist-run organization, active from 1975-1995. During this period, the organization was interested in alternative forms of making art, experimenting with form and material and questioning the definition and boundaries of art. The organization was involved in a multiplicity of activities including publishing, maintaining an artists’ space supporting performance art, exhibitions, video production and screenings, a library, distributing artist-produced works, and creating one of the first artists’ online networks._x000D_ Entretien de Judy Malloy avec Carl Eugene Loeffler : www.well.com/user/jmalloy/artcom.html Established in 1975, the first venture of the organization was in the realm of publishing. La Mamelle Magazine, v.1(1) was published in summer 1975. The organization then opened an 8,000 sf space in San Francisco at the beginning of 1976 as an alternative exhibition and performance space. From 1975 through the 1980s the organization supported live art, electronic media including video, artist-curated exhibitions, a bookstore with artists’ publications. It established and supported a growing repository of information about new art activities worldwide, and the first Video Art archive in northern California. In 1980, the organization began using the name Art Com, and supported programs that promoted the intersection of the arts and technology. It programmed video and audio works by artists on community access television and radio stations, cable TV and collaborated with other artists on video works and telecommunications projects. As publishers, the last issue in print format of Art Com Magazine (formerly La Mamelle, then Art Contemporary) was published in 1984 and became an e-journal in spring 1986 with the launching of the Art Com Electronic Network. ACEN was one of the first interactive online artists’ networks, conceived as a ’virtual village’ that focused on building a cultural environment and creating art through a global participatory process. From 1980 through the mid 1990s, the organization also ran Contemporary Arts Press Distribution and Art Com Media Distribution, an entrepreneurial effort to distribute artist-produced publications and media to libraries, bookstores, and television stations worldwide."
Fer de Lance,"With twenty living artists, Fer de Lance is an interdisciplinary art centre whose main objective is to create bridges between various areas of creation, discipline and institutions. The structure consists of two permanent curators and lived artists from different Swiss schools such as Ecal, Cepv, Head, Epfl or Union. They work in industrial design, relieving, graphic design, media interaction, architecture, photography, illustration, plastic arts, video and cinema."
