nom,texte,multi_topics,multi_topics_no_threshold
Lieu d'exposition en voie de déplacement (LEVD),"The LEVD is an association with variable geometry created in 2014. LEVD is a means to design contemporary art production and dissemination frameworks, regardless of cultural institutions, galleries or residential systems. « Artists, for artists’ could be the word of order.The LEVD is a simple direction: to find locations, exhibitions, to perform a series of short events, during which plastics are invited. In order to enrich each project, they are also associated with artists from the world of art, galleries or residential systems. From 17 April to 25 May 2014Cycla 1: From 15 a.m. to 19 p.m. and on your date Screening Fund #1: from day to night.",[3],"[2, 3, 4, 5]"
LAPSUS,"Lapsus Laboratory is an educational program created to incite interest and passion for experiments in art and technology. In the lab we explore tools like 3D printers, Arduino devices, virtual reality mediums and electronic circuitry design. We organize editions of public workshops each summer-autumn period with the support of the Științescu Fund in Timișoara (each year it’s a bit different but always interesting). The program is directed towards children of ages from 8 to 18. LAPSUS is an independent exhibition space and laboratory for creative projects. Our spaces are situated in the old paint factory “AZUR” on Peneș Curcanul street, nr. 3-5 in Timișoara (Romania).The artist-net is so fragile in its attempt to hold some bits of space together. Our spaces, art studios, media labs, a gallery, all are improvised and emergent from the cement up. Where once was industry, chemistry and bureaucracy, now there is a creative but precarious atmosphere. An organic net, very similar to a spider web, connects this and that studio, you can barely notice it because when there are no happenings it is invisible, like a microscopic organism or a parasite burrowed deep in its host. Links and signals are appearing, disappearing and reappearing at seemingly random times. The moment of the show or the ephemeral public stirrups – these aren’t long-lasting – but occasionally they happen as attention grabbing events. In the end all will be dissolved, its presence seems unessential.While an artspace shows up as a cocoon with its creature inside, when it is part of a net you can tell it’s a different kind when compared to its neighbor, who is maybe emerging from its own cocoon to fly elsewhere. This means each art space has its own rhythm, and while they populate the same ecosystem, there is both connection and disconnection between them, in style, principles, vision, ambition and aesthetics. I can even hear David Attenborough whisper observations about this endangered species called the emerging artist on a TV channel named Artist-Run Planet: there are no two members of the same species which share the same characteristics.A conglomerate of such spaces can only give the impression of something durable and stable. It can help one feel secure for a while, but it functions like an organism which creates more fragility than it actually manages to reinforce.Lapsus was founded in 2017 by curator Alex Boca.",[],"[1, 4, 5]"
Wohnmaschine,"The artist-run space housing machine becomes a Look gallery, a commercial space in 1992.",[1],[]
ChezKit,"Named ChezKit, the project was born of the will of three young artists from the Beautiful-Arts of Paris in 2013 (Coline Cuni, Gwendoline Perriqueux and Cyril Zarcone) in the spring of 2014 and opened its doors in a Pantino industrial building. The 200m2 site is modulated by individual or collective projects of its residents. It is a place of production, collaboration and critical discussions. ChezKit is engaged in a support to young creation.The ChezKit workshop is converted every three months to take place in various artistic events: exhibitions, exhibitions, projections, performances and other initiatives aimed at contemporary creation.",[0],[2]
Western Front,"Established in 1973 the Western Front is one of Canada’s leading artist-run centres for contemporary art and new music. We produce and present visual art, exhibitions, new music concerts and workshops, media-art residencies, performance art and other artist-driven initiatives. The Western Front currently maintains programs in Exhibitions, Media Art and New Music, as well as an extensive archive of audio-visual materials. Through this diverse programming we continue to be a crucial platform for interdisciplinary, experimental art practices in Canada and internationally. The Western Front was founded in 1973 by eight artists (Martin Bartlett, Mo van Nostrand, Kate Craig, Henry Greenhow, Glenn Lewis, Eric Metcalfe, Michael Morris, Vincent Trasov) who wanted to create a space for the exploration and creation of new art forms. It quickly became a centre for poets, dancers, musicians and visual artists interested in exploration and interdisciplinary practices. As a focal point of experimental art practice through the 1970’s and 80’s, the Western Front, in connection with other centres like it, played a major role in the development of electronic and networked art forms in a national and international context. Over its 43-year history the Western Front has promoted critical investigations into and surrounding interdisciplinary, media-based, anti-object, and ephemeral practices with particular attention to the contexts and economies in which art is produced. While general curatorial priorities have remained dedicated to these practices, the Western Front’s internal structure has continued to evolve and a number of distinct programs have been established and retired over the years including Performance Art, Movement Arts, Literary Arts and Front Magazine. The Western Front still continues to program events and exhibitions related to these genres, but no longer supports fully dedicated departments.",[1],"[1, 3, 4, 5]"
MILLE FEUILLES,"A typical space, on the edge of the library. And on the floor, an art space, with many collective exhibitions.",[0],[]
One gee in fog,"One gee in fire is an independent, experimental and multidisciplinary space including an exhibition room, a concert room, a library and a residence. established in the canton of Geneva, founded by the haas mogami, clear haas and lucas cantori, it is co-ordinated by a group of heteroclite artists, commissioners, writers, musicians and graffitiers. One gee has moved to Geneva in 2022 into a new area with culinary editions. Since the year 2024, the annual programming of the exhibition space is in charge of a team of hacera, minerman and herbicides in her",[0],[]
Straat galerie,"Founded in September 2011 by Rémy Lielo and Hannah Théveneau, the Street Gallery is a young gallery in the contemporary art world located in the course of Julien - Notre Dame du Mont (6e), with an exhibition area of 45m2. It aims to support and promote young emerging artists from art schools or less traditional ways: photographers, designers, painters or other plastic artists. With an objectively contrasted and multidisciplinary art line, it has been a starting point of work from graffiti directly or indirectly from the practice of painting, which is always an important part of the painting in the future.",[2],"[1, 2]"
l'Œil de Poisson,"The work of the Poisson is aimed at both dissemination and production of the current art. The Centre prefers an art of research and exploration that encourages the decoupling of artistic practices and encourages transfers or meetings between disciplines. It is to take account of the practices and problems that form the project of the current art and which redefining it without delay as nature, rather than supporting it in its definition. The mandate of the Poisson is therefore to build its objectives through the implementation and production of various exhibitions, exchanges, events, and compositions. The Poisson River has existed since 1985. It has been born motivated by the will of young artists to have production and dissemination facilities. During its foundation, the centre devoted itself only to photography. It has gradually expanded its dissemination activities and has worked actively to develop production facilities that are responsive to the diverse interests of its members. The Centre has thus expanded its action to all visual arts as well as to the achievement of integrated or combined multidisciplinary events: dance, music, theatre, poetry. Since 1995, the Poisson River has been a member of the Meduse cooperative, which has been a member of the Meduse community and community bodies.",[3],"[1, 2, 3, 4]"
Triangle-Asterides,"— 1992: contemporary creation of Asterrades (by artists Gilles Maugeais, Jean-Cristophe Nourisson and Sandrine Raquin) and the association of Friche Theater (SFT) to manage and develop the project of the Friche Belle de Mai. The reversion of this former factory is then at its foundations. Asterisks are the fifth stage of the Tour and there are the first workshops in which the company is founded.",[2],"[2, 3]"
Keramikwerkstatt von Wilfriede Maaß,"In the 1980s, the Wilfriede Maaß ceramic workshop located in Schönflißer Straße, in the eastern district of Prenzlauer Berg, became the center of the independent artistic environment.Link article: http://www.bpb.de/55807/keramikwerkstatt-vilfriede-maass",[2],[]
Interface appartement /galerie,"Since September 1995, we have proposed a young artist's programming: this action is intended to form a flexible complement to the professional environment of art (Gallerys, Institutions). Our ""associative gallery apartment"" has been called a place of exchange and meeting. Since September 1996, the programming has integrated artists such as Marc-Camille Chaimowicz, Jean Dupuy, Ming, Pat Bruder, Didier Marcel, Philippe Cazal, Marc Cutturier, Jean Dupuy, Niek van Steeg... .Claude Rutault. Still functional, the apartment is transformed into a few weeks's place of life, so it is in place of exhibition. And it seems that it takes them to break into pieces, cut them into pieces, and cut them into pieces. The Apartment/Gallery Interface is defined as a place of experimentation and support for (young) artists; a free airbuff in contemporary art circuits... without self-interest!!! Interface is an Association Act 1901, created in January 1992 in Dijon. It aims to support young artists with material and logistical assistance for the achievement and dissemination of their works. 1995-2015: what's left of our twenty-year-olds?! Fire the Mirande Street (1995-2001) and its first gallery is still there. The artists, the public, remain faithful and follow the adventure that has followed the hospital's Way of Chancellor since 2002. We are identified by a formula all done, ""that's necessary""! With the years, the fate is a little slow but the desire is always there! We are caught in the game, sometimes we're trapped with some ""Guest Stars"", project, without really realizing that 364 artists have been transmitted to the house of the hospital.",[1],"[2, 3]"
Deborah Bowmann,"Deborah Bowmann is a project run by artists Amaury Daurel and Victor Delestre recently relocated in Brussels after a first season of exhibitions/collections held in Amsterdam. Deborah Bowmann stands between a brand and an exhibition space and thus embodies a studio practice and a curatorial practice.Deborah Bowmann commits in developing new manners of thinking commodity and commerce in both aesthetic and economic terms in the fields of sculpture and design.Deborah Bowmann develops through collaboration with young artists and various actors. Recent collaborators includes :Thea Djordjadze, Stéphane Barbier Bouvet, Clémence Seilles, Laurent Ledeunff, Estrid Lutz & Émile Mold, Vincent Knopper, Heather and Rositta, Émilie Ferrat, Jurjen Van Houte, Habitdenous©, Jeanne Magnenat, Leïla Arenou & Laure Jaffuel, Fabien Vallos and Lény Bernay.Deborah Bowmann also develops through invitations and has been invitated by Triangle France, Galerie Treize, SSBA-SALON.","[0, 2]",[2]
ZABRISKIE POINT,"Zabriskie Point is an independent exhibition space dedicated to contemporary art. It is currently managed by a multidisciplinary collection of Roxane Bovet, Raure Marville, and Yoan Mudry, artist. It is part of Zabriskie Point daily, from the real to the present. Its architecture and location allows it to escape from traditional art sites. Zabriskie Point is currently composed of Roxane Bovet, Lareville, and Yoan Mudry. It is a member of Zabriskie Point, and is an artist, of course, and is an artist.",[3],[2]
MATCA,MATCA artspace is a DIY artist-run space managed by three local artists in Cluj-Napoca,[4],[5]
Park,"PARK highlights the current developments of contemporary art and artists with a strong experience and tested quality. A place is given to regional artists, but also to national or international artists, in order to contribute positively to the debate on contemporary art. Five projects are carried out each year, accompanied by interventions that can open public to the project, conferences, discussions, music and/or cinema. PARK is an artistic initiative founded in 2013 by Rob Moonen, in collaboration with six other Tilburg artists. Currently the working group PARK Linda Arts , René Korten , Rob Moonen and Reinoud van Vught . PARK has realized the need for an artistic centre that is located between Kunstpodium T. and Museum De Pont by integrating itself into an exhibition program in the former Goretti Chapel in Wilhelminapark in Tilburg.",[0],"[0, 1, 3, 5]"
"Printed Matter, Inc.","Printed Matter is located in the heart of the busy Chelsea art district, surrounded by hundreds of galleries, arts organizations, and fellow arts non-profits. With with well over 100,000 visitors annually, the active street-level storefront offers a glimpse into the thriving state of contemporary artists’ publishing, featuring artists’ books, zines, posters, prints, multiples, audio works and a broad selection of out-of-print material. In addition to being packed full of unique publications, we host an array of programs and events on a regular basis. From rotating exhibitions and window installations toevents such as book launches, talks and performances, there's always something going on at Printed Matter. The shop also holds the non-profit offices where our small staff can be seen at work on various services in support of book artists and can always help you find what you’re looking for. We are constantly checking in material, and have several hundred new titles available each month. So, visit often and see what new titles we have in stock! Founded in 1976, Printed Matter, Inc. is the world’s leading non-profit organization dedicated to the dissemination, understanding and appreciation of artists' books and related publications. First established in Tribeca by Sol Lewitt and Lucy Lippard (among other important artists and art-workers) Printed Matter was developed in response to the growing interest in publications made by artists. Starting in the early 60s, many of the pioneering conceptual artists (as well as performance, process, environment, sound and other experimental media artists) began to explore the possibilities of the book form as an artistic medium. Large-edition and economically produced publications allowed experimentation with artworks that were democratically accessible, affordable, collaborative, and could circulate outside of the mainstream gallery system. Printed Matter provided a space that championed artists' books as complex and meaningful artworks, helping bring wider visibility to a medium that was not widely embraced at the time. After 13 years on Lispenard Street in Tribeca, Printed Matter moved to a location on Wooster Street in SoHo. The spacious bookshop and large storefront windows allowed for book displays and artists’ installations, contributing to the vibrancy of a neighborhood that was undergoing rapid changes. In 2001 Printed Matter made its move to Chelsea, the center of New York’s art district, and further established its relationship to the contemporary arts. In 2005, we relocated to our current storefront on Tenth Avenue. The space has presented us once again with a street-level window and the opportunity to present exhibitions and programming. With the continuing growth of the organization, we manage to do a lot with the limited space we have, making every visit to Printed Matter new and exciting. Over the years, Printed Matter has maintained a close relationship with the rich history of artists’ publications and continues to carry works from many of our organization's founding artists. Printed Matter’s first catalogue in 1976 included books from a number of artists who would turn out to be major figures of a generation – Kathy Acker, Laurie Anderson, Carl Andre, John Baldessari, Daniel Buren, Susan Hiller, Sol LeWitt, Adrian Piper, Ad Reinhardt, Martha Rosler, Edward Ruscha, and Lawrence Weiner to name a few– many of which are still available to purchase (though most no longer cost $2). Artists’ books have continued to provide a remarkable reflection on contemporary artistic practices. In recent years the community has witnessed an explosion of independently published projects, resulting in an increased and renewed interest in the field. As artists’ book publishing undergoes this tremendous renaissance, Printed Matter has expanded its services and activities to meet the needs of the field, notably including the establishment of our NY Art Book Fair in 2005 and the inaugural LA Art Book Fair in 2013. We’re thrilled to find that Printed Matter’s mission is more pertinent than ever. In 2012 Printed Matter suffered from flooding caused by Hurricane Sandy, resulting in the loss of 9,000 books and considerable damage of our Archive. We are grateful for the tremendous support of the many individuals and foundations that helped us make steps towards a full recovery. Thank you to everyone who generously reached out to support the organization during our time of need. Founding Members : Carl Andre Edit DeAk Sol LeWitt Lucy Lippard Walter Robinson Pat Steir Mimi Wheeler Robin White Irena by Zahn",[3],"[1, 3, 5]"
The Number Shop,"STUDIOThe Number Shop studios provides it's residents with a defined personal space, as well as shared floor space in which to work. Facilities include; wireless internet throughout, a shared store facility, tools and equipment, kitchen, W.C. and reception area. Studio Resident artists can use the Project Space between exhibitions and have 24 hour access to the building.GALLERYTNS hosts exhibitions from visiting artists in our Project Space. The Project Space (3.3 x 3.8m) has 3 white wall-space aspects as well as large street facing windows with a roller blind that can be used as a projection screen. There is access to the kitchen and WC during events and full disabled access.Exhibitions & ProposalsIf you would like to submit a proposal for an exhibition in our Project Space please contact ali@thenumbershop.org We welcome solo shows from external practitioners, as well as small-mid size groups who can think of inventive ways to work with the room's modest dimensions. TNS is keen to build relationships with artist collectives, galleries and cultural institutions across Scotland and beyond. If you are interested in working together or discussing a project we would be very happy to hear from you. The Number Shop - Studios and Gallery is an artist-run organisation in the centre of Edinburgh. We provide studio's for 10 practitioners as well as a flexible use exhibition space for visiting artists. TNS maintains a clear aim to support recent-graduates and early-career/emerging creatives from a wide range of creative backgrounds by providing affordable city centre spaces in which to work and exhibit.TNS is keen to connect with external organisations in an effort to develop working relationships and encourage more creative opportunities, if you are interested in working together, please get in touch!",[0],"[0, 4]"
La GAD MARSEILLE,"In 2010, the Arnaud Deschin Gallery (GAD) began to propose to the public the first exhibitions focused on the creation of young artists, with a particular emphasis on the women's artistic scene. In 2016, the gallery adopted the name ""arnaud deschin gallery"" at the time of its installation in the Belleville gallery district, in Paris."" Arnaud Dechin transformed its gallery into a collective adventure where artists, collectors, critics, commissions of exhibitions, dancers, fans, currants. A boat where the captain is able to play the opening of the outdoors ... the opening of young artists and branches of international dances.",[2],"[2, 3, 5]"
INTERIOR and the collectors,"INTERIOR and the collectors are an exhibition space directed by two artists. Located in an old house of the historic centre of Arles, it is not a place of conventional exhibition but several rooms that can be rented for one or more nights. The public is invited in an area used to show art in the intimate framework of an apartment that is not dedicated to the exhibition but to everyday life. The development of each exhibition is close to a collectioner career, the choice of artists responds to a more personal logic that allows to cross the species and mix emerging artists with confirmed artists. The private space allows a total freedom, a local exchange and density training of the basics of culture and a multicultural culture. INTERIOR and the collectors are an exhibition area led by two artists who opened in 2011 on the occasion of the 11th anniversary of contemporary art. It is a non-conventional exhibition place, a natural apartment in a 16th-century building in the center of Lyon. It is also a more confidential space that can be rented for one or more nights. We want to develop temporary exhibitions in this typical place, more demanding than a personal and unique gallery.",[3],"[1, 5, 6]"
ECHANGEUR22,"For professional artists or confirmed in the following disciplines: Numbering art/songart plasticsCritical art and exhibition commissionerDesign/graphismArticle/writingDance/chorographyFor a maximum period of 6 weeks, the residence is privileged for the months of June, July, (period of festivals) or September/October.The artists attending the meetings in duo or trio will be held in co-residentship for at least 4 weeks. 3 workshops/dwellings: The great studio. The studio. The studio. F2 . The production workshop giving on large portal accessable /.2 common food/gardins/prices: Séances: Sélications are available for duo meetings in duo or three weeks. ECHANGEUR22 is a residence project that focuses on the reception of different artists of horizons and cultures and develops its program around the concept of artistic meetings.6 weeks, 3 nationalities, 3 workshops/residents, 3 to 4 residentsA residence of creation or experience that gives artists recognition of a common language, technical and financial conditions to deal with, produce and develop new and transcultural ideas by creating links to the host territory through different actions such as workshops and public presentations. Simple objectives: Open a place of exchange and contemporary production of interdisciplinary and intercultural works",[0],"[1, 3, 4]"
La Mamelle/Art Com,"La Mamelle / Art Com is a non-profit artist-run organization, active from 1975-1995. During this period, the organization was interested in alternative forms of making art, experimenting with form and material and questioning the definition and boundaries of art. The organization was involved in a multiplicity of activities including publishing, maintaining an artists’ space supporting performance art, exhibitions, video production and screenings, a library, distributing artist-produced works, and creating one of the first artists’ online networks. Entretien de Judy Malloy avec Carl Eugene Loeffler : www.well.com/user/jmalloy/artcom.html Established in 1975, the first venture of the organization was in the realm of publishing. La Mamelle Magazine, v.1(1) was published in summer 1975. The organization then opened an 8,000 sf space in San Francisco at the beginning of 1976 as an alternative exhibition and performance space. From 1975 through the 1980s the organization supported live art, electronic media including video, artist-curated exhibitions, a bookstore with artists’ publications. It established and supported a growing repository of information about new art activities worldwide, and the first Video Art archive in northern California. In 1980, the organization began using the name Art Com, and supported programs that promoted the intersection of the arts and technology. It programmed video and audio works by artists on community access television and radio stations, cable TV and collaborated with other artists on video works and telecommunications projects. As publishers, the last issue in print format of Art Com Magazine (formerly La Mamelle, then Art Contemporary) was published in 1984 and became an e-journal in spring 1986 with the launching of the Art Com Electronic Network. ACEN was one of the first interactive online artists’ networks, conceived as a ’virtual village’ that focused on building a cultural environment and creating art through a global participatory process. From 1980 through the mid 1990s, the organization also ran Contemporary Arts Press Distribution and Art Com Media Distribution, an entrepreneurial effort to distribute artist-produced publications and media to libraries, bookstores, and television stations worldwide.",[1],"[1, 3, 4, 5, 6]"
In extenso,"exhibitions, editions, publication of The beautiful magazine, contemporary Art magazine in Central France. Created in 2002 by Marc Geneix and Sébastien Maloberti, In anextenso expands its activities according to three major axes: the exhibition, edition, and the development of exchanges between contemporary art sites in central France, by means of his project The beautiful revision. In an extensive dissemination of the work of national and international artists through a double programming, within his gallery and outside the walls. In the center of Clermont-Ferrand, the association has a range of 25m2 in which it organizes five exhibitions per year. The programming outside the walls is about the fruit of the partnerships that are set up with French and European structures. 2025 / Current teamCo-President : Clélia Barthelon, Liza Magnan, Nino Spanish Artistic Director: Katia PorroCordatory of the projects : Manue Bureau The beautiful revisionEditor : Lou Ferrand Editorial Committee: Marie Bechetoille, Lou Ferrand, Lola Fontané, Sophie Lapalu Graphists: Translator, translator Past Artists: Marc Geneix et Sébastien Maloberti (2008-2012) Marc Geneix & Sébastien Maloberti (2012-2014) Annoít Lamy de La Chapelle (2016-2018) Pietro Della Giustina, Laurence, Laurence, Laurence, Laurence, and Annams",[2],"[2, 3, 5]"
Ecart,"If the Ecart team reopens the Ecart gallery - which would be considered the most important space in Europe - (Ken Friedman) was officially created in 1969. Ecart Performance Group was created in Geneva by the artists John M. Lucchini and Claude Rychner. In 1973 the Ecart gallery was created by the team. During the seven years, it was created by the team's work, the group was created by the team's team of directors.",[2],[]
